AreaCode,AreaName,OutlookAreaCode,OutlookAreaName,OutlookStatus,OutlookSubRegion,OutlookBigRegion,OutlookSuperRegion,OutlookSEAsia,Global
63,Estonia,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
64,Faroe Islands,FRO,Faeroe Islands,Active,EUW,REU,COS,RestOfTheWorld,WLD
65,Falkland Islands (Malvinas),FLK,Falkland Islands (Malvinas),Commented,SAC,RLC,COS,RestOfTheWorld,WLD
66,Fiji,FJI,Fiji Islands,Active,OCE,RAP,COS,RestOfTheWorld,WLD
67,Finland,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
68,France,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
69,French Guiana,GUF,French Guiana,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
70,French Polynesia,PYF,French Polynesia,Active,OCE,RAP,COS,RestOfTheWorld,WLD
71,French Southern and Antarctic Territories,,,,,,,,
72,Djibouti,DJI,Djibouti,Active,AF2,RAF,COS,RestOfTheWorld,WLD
73,Georgia,GEO,Georgia,Active,ASD,RAP,COS,RestOfTheWorld,WLD
74,Gabon,GAB,Gabon,Active,GAB,RAF,COS,RestOfTheWorld,WLD
75,Gambia,GMB,Gambia,Active,AF2,RAF,COS,RestOfTheWorld,WLD
79,Germany,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
80,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,Active,EUE,REU,COS,RestOfTheWorld,WLD
81,Ghana,GHA,Ghana,Active,GHA,RAF,COS,RestOfTheWorld,WLD
82,Gibraltar,GIB,Gibraltar,Commented,EUW,REU,COS,RestOfTheWorld,WLD
83,Kiribati,KIR,Kiribati,Active,OCL,RAP,COS,RestOfTheWorld,WLD
84,Greece,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
85,Greenland,,,,,,,,
86,Grenada,GRD,Grenada,Active,SAC,RLC,COS,RestOfTheWorld,WLD
87,Guadeloupe,GLP,Guadeloupe,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
88,Guam,GUM,Guam,Active,OCE,RAP,COS,RestOfTheWorld,WLD
89,Guatemala,GTM,Guatemala,Active,SAC,RLC,COS,RestOfTheWorld,WLD
90,Guinea,GIN,Guinea,Active,AF2,RAF,COS,RestOfTheWorld,WLD
91,Guyana,GUY,Guyana,Active,SAC,RLC,COS,RestOfTheWorld,WLD
93,Haiti,HTI,Haiti,Active,HTI,RLC,COS,RestOfTheWorld,WLD
94,Holy See,VAT,Holy See,Commented,EUW,REU,COS,RestOfTheWorld,WLD
95,Honduras,HND,Honduras,Active,SAC,RLC,COS,RestOfTheWorld,WLD
96,"China, Hong Kong SAR",HKG,Hong Kong SAR,Active,ASA,RAP,COS,RestOfTheWorld,WLD
97,Hungary,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
98,Croatia,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
99,Iceland,ISL,Iceland,Active,EUW,REU,COS,RestOfTheWorld,WLD
100,India,IND,India,Active,IND,RAP,COS,RestOfTheWorld,WLD
101,Indonesia,IDN,Indonesia,Active,IDN,RAP,COS,OutlookSEAsia,WLD
102,Iran (Islamic Republic of),IRN,Iran (Islamic Republic of),Active,IRN,RNE,COS,RestOfTheWorld,WLD
103,Iraq,IRQ,Iraq,Active,IRQ,RNE,COS,RestOfTheWorld,WLD
104,Ireland,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
105,Israel,ISR,Israel,Active,ISR,REU,COS,RestOfTheWorld,WLD
106,Italy,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
107,Côte d'Ivoire,CIV,Côte d'Ivoire,Active,CIV,RAF,COS,RestOfTheWorld,WLD
108,Kazakhstan,KAZ,Kazakhstan,Active,KAZ,REU,COS,RestOfTheWorld,WLD
109,Jamaica,JAM,Jamaica,Active,SAC,RLC,COS,RestOfTheWorld,WLD
110,Japan,JPN,Japan,Active,JPN,JPN,AGL,RestOfTheWorld,WLD
112,Jordan,JOR,Jordan,Active,NRE,RNE,COS,RestOfTheWorld,WLD
113,Kyrgyzstan,KGZ,Kyrgyzstan,Active,ASD,RAP,COS,RestOfTheWorld,WLD
114,Kenya,KEN,Kenya,Active,KEN,RAF,COS,RestOfTheWorld,WLD
115,Cambodia,KHM,Cambodia,Active,KHM,RAP,COS,OutlookSEAsia,WLD
116,Democratic People's Republic of Korea,PRK,Democratic People's Republic of Korea,Active,ASA,RAP,COS,RestOfTheWorld,WLD
117,Republic of Korea,KOR,South Korea,Active,KOR,KOR,AGL,RestOfTheWorld,WLD
118,Kuwait,KWT,Kuwait,Active,NRE,RNE,COS,RestOfTheWorld,WLD
119,Latvia,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
120,Lao People's Democratic Republic,LAO,Lao People's Democratic Republic,Active,LAO,RAP,COS,OutlookSEAsia,WLD
121,Lebanon,LBN,Lebanon,Active,LBN,RNE,COS,RestOfTheWorld,WLD
122,Lesotho,LSO,Lesotho,Active,AF2,RAF,COS,RestOfTheWorld,WLD
123,Liberia,LBR,Liberia,Active,AF2,RAF,COS,RestOfTheWorld,WLD
124,Libya,LBY,Libyan Arab Jamahiriya,Active,LBY,RNE,COS,RestOfTheWorld,WLD
125,Liechtenstein,,,,,,,,
126,Lithuania,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
127,Marshall Islands,MHL,Marshall Islands,Active,OCE,RAP,COS,RestOfTheWorld,WLD
128,"China, Macao SAR",MAC,Macau SAR,Active,ASA,RAP,COS,RestOfTheWorld,WLD
129,Madagascar,MDG,Madagascar,Active,MDG,RAF,COS,RestOfTheWorld,WLD
130,Malawi,MWI,Malawi,Active,MWI,RAF,COS,RestOfTheWorld,WLD
131,Malaysia,MYS,Malaysia,Active,MYS,RAP,COS,OutlookSEAsia,WLD
132,Maldives,MDV,Maldives,Active,ASA,RAP,COS,RestOfTheWorld,WLD
133,Mali,MLI,Mali,Active,MLI,RAF,COS,RestOfTheWorld,WLD
134,Malta,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
135,Martinique,MTQ,Martinique,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
136,Mauritania,MRT,Mauritania,Active,MRT,RNE,COS,RestOfTheWorld,WLD
137,Mauritius,MUS,Mauritius,Active,AF1,RAF,COS,RestOfTheWorld,WLD
138,Mexico,MEX,Mexico,Active,MEX,MEX,AGL,RestOfTheWorld,WLD
140,Monaco,MCO,Monaco,Active,EUW,REU,COS,RestOfTheWorld,WLD
141,Mongolia,MNG,Mongolia,Active,ASA,RAP,COS,RestOfTheWorld,WLD
142,Montserrat,MSR,Montserrat,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
143,Morocco,MAR,Morocco,Active,MAR,RNE,COS,RestOfTheWorld,WLD
144,Mozambique,MOZ,Mozambique,Active,MOZ,RAF,COS,RestOfTheWorld,WLD
145,Micronesia (Federated States of),FSM,Micronesia (Federated States of),Active,OCE,RAP,COS,RestOfTheWorld,WLD
146,Republic of Moldova,MDA,"Moldova, Republic of",Active,EUE,REU,COS,RestOfTheWorld,WLD
147,Namibia,NAM,Namibia,Active,AF1,RAF,COS,RestOfTheWorld,WLD
148,Nauru,NRU,Nauru,Active,OCE,RAP,COS,RestOfTheWorld,WLD
149,Nepal,NPL,Nepal,Active,AS2,RAP,COS,RestOfTheWorld,WLD
150,Netherlands,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
151,Netherlands Antilles (former),ANT,Netherlands Antilles,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
153,New Caledonia,NCL,New Caledonia,Active,OCE,RAP,COS,RestOfTheWorld,WLD
154,The former Yugoslav Republic of Macedonia,MKD,The former Yugoslav Republic of Macedonia,Active,EUE,REU,COS,RestOfTheWorld,WLD
155,Vanuatu,VUT,Vanuatu,Active,OCL,RAP,COS,RestOfTheWorld,WLD
156,New Zealand,NZL,New Zealand,Active,NZL,NZL,AGL,RestOfTheWorld,WLD
157,Nicaragua,NIC,Nicaragua,Active,SAC,RLC,COS,RestOfTheWorld,WLD
158,Niger,NER,Niger,Active,AF2,RAF,COS,RestOfTheWorld,WLD
159,Nigeria,NGA,Nigeria,Active,NGA,RAF,COS,RestOfTheWorld,WLD
160,Niue,NIU,Niue,Active,OCE,RAP,COS,RestOfTheWorld,WLD
161,Norfolk Island,NFK,Norfolk Island,Commented,OCE,RAP,COS,RestOfTheWorld,WLD
162,Norway,NOR,Norway,Active,NOR,NOR,AGL,RestOfTheWorld,WLD
163,Northern Mariana Islands,MNP,Northern Mariana Islands,Commented,OCE,RAP,COS,RestOfTheWorld,WLD
164,Pacific Islands Trust Territory,PIT,Pacific Islands,Commented,OCE,RAP,COS,RestOfTheWorld,WLD
165,Pakistan,PAK,Pakistan,Active,PAK,RAP,COS,RestOfTheWorld,WLD
166,Panama,PAN,Panama,Active,SAC,RLC,COS,RestOfTheWorld,WLD
167,Czech Republic,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
168,Papua New Guinea,PNG,Papua New Guinea,Active,OCE,RAP,COS,RestOfTheWorld,WLD
169,Paraguay,PRY,Paraguay,Active,PRY,RLC,COS,RestOfTheWorld,WLD
170,Peru,PER,Peru,Active,PER,RLC,COS,RestOfTheWorld,WLD
171,Philippines,PHL,Philippines,Active,PHL,RAP,COS,OutlookSEAsia,WLD
172,Pitcairn Islands,PCN,Pitcairn Islands,Commented,OCE,RAP,COS,RestOfTheWorld,WLD
173,Poland,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
174,Portugal,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
175,Guinea-Bissau,GNB,Guinea-Bissau,Active,AF2,RAF,COS,RestOfTheWorld,WLD
176,Timor-Leste,TLS,Timor-Leste,Active,AS2,RAP,COS,RestOfTheWorld,WLD
177,Puerto Rico,PRI,Puerto Rico,Active,SAC,RLC,COS,RestOfTheWorld,WLD
178,Eritrea,ERI,Eritrea,Active,AF2,RAF,COS,RestOfTheWorld,WLD
179,Qatar,QAT,Qatar,Active,NRE,RNE,COS,RestOfTheWorld,WLD
180,Palau,PLW,Palau,Active,OCE,RAP,COS,RestOfTheWorld,WLD
181,Zimbabwe,ZWE,Zimbabwe,Active,ZWE,RAF,COS,RestOfTheWorld,WLD
182,Réunion,REU,Réunion,Commented,AF1,RAF,COS,RestOfTheWorld,WLD
183,Romania,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
184,Rwanda,RWA,Rwanda,Active,RWA,RAF,COS,RestOfTheWorld,WLD
185,Russian Federation,RUS,Russia,Active,RUS,RUS,AGL,RestOfTheWorld,WLD
186,Serbia and Montenegro,SRM,Serbia+Montenegro,Commented,EUE,REU,COS,RestOfTheWorld,WLD
187,"Saint Helena, Ascension and Tristan da Cunha",SHN,Saint Helena,Active,AF1,RAF,COS,RestOfTheWorld,WLD
188,Saint Kitts and Nevis,KNA,Saint Kitts and Nevis,Active,SAC,RLC,COS,RestOfTheWorld,WLD
189,Saint Lucia,LCA,Saint Lucia,Active,SAC,RLC,COS,RestOfTheWorld,WLD
190,Saint Pierre and Miquelon,,,,,,,,
191,Saint Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines,Active,SAC,RLC,COS,RestOfTheWorld,WLD
192,San Marino,SMR,San Marino,Active,EUW,REU,COS,RestOfTheWorld,WLD
193,Sao Tome and Principe,STP,Sao Tome and Principe,Active,AF2,RAF,COS,RestOfTheWorld,WLD
194,Saudi Arabia,SAU,Saudi Arabia,Active,SAU,RNE,COS,RestOfTheWorld,WLD
195,Senegal,SEN,Senegal,Active,SEN,RAF,COS,RestOfTheWorld,WLD
196,Seychelles,SYC,Seychelles,Active,AF1,RAF,COS,RestOfTheWorld,WLD
197,Sierra Leone,SLE,Sierra Leone,Active,AF2,RAF,COS,RestOfTheWorld,WLD
198,Slovenia,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
199,Slovakia,NMS,New Member States,Active,NMS,EUN,AGL,RestOfTheWorld,WLD
200,Singapore,SGP,Singapore,Active,ASA,RAP,COS,RestOfTheWorld,WLD
201,Somalia,SOM,Somalia,Active,SOM,RAF,COS,RestOfTheWorld,WLD
202,South Africa,ZAF,South Africa,Active,ZAF,RAF,COS,RestOfTheWorld,WLD
203,Spain,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
205,Western Sahara,ESH,Western Sahara,Active,AF1,RAF,COS,RestOfTheWorld,WLD
206,Sudan (former),SDN,Sudan,Active,SDN,RAF,COS,RestOfTheWorld,WLD
207,Suriname,SUR,Suriname,Active,SAC,RLC,COS,RestOfTheWorld,WLD
208,Tajikistan,TJK,Tajikistan,Active,ASD,RAP,COS,RestOfTheWorld,WLD
209,Swaziland,SWZ,Swaziland,Active,AF1,RAF,COS,RestOfTheWorld,WLD
210,Sweden,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
211,Switzerland,CHE,Switzerland,Active,CHE,CHE,AGL,RestOfTheWorld,WLD
212,Syrian Arab Republic,SYR,Syrian Arab Republic,Active,NRE,RNE,COS,RestOfTheWorld,WLD
213,Turkmenistan,TKM,Turkmenistan,Active,ASD,RAP,COS,RestOfTheWorld,WLD
214,"China, Taiwan Province of",TWN,Taiwan Province of China,Active,ASA,RAP,COS,RestOfTheWorld,WLD
215,United Republic of Tanzania,TZA,United Republic of Tanzania,Active,TZA,RAF,COS,RestOfTheWorld,WLD
216,Thailand,THA,Thailand,Active,THA,RAP,COS,OutlookSEAsia,WLD
217,Togo,TGO,Togo,Active,AF2,RAF,COS,RestOfTheWorld,WLD
218,Tokelau,TKL,Tokelau,Active,OCE,RAP,COS,RestOfTheWorld,WLD
219,Tonga,TON,Tonga,Active,OCE,RAP,COS,RestOfTheWorld,WLD
220,Trinidad and Tobago,TTO,Trinidad and Tobago,Active,SAC,RLC,COS,RestOfTheWorld,WLD
221,Oman,OMN,Oman,Active,NRE,RNE,COS,RestOfTheWorld,WLD
222,Tunisia,TUN,Tunisia,Active,TUN,RNE,COS,RestOfTheWorld,WLD
223,Turkey,TUR,Turkey,Active,TUR,REU,COS,RestOfTheWorld,WLD
224,Turks and Caicos Islands,TCA,Turks and Caicos Islands,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
225,United Arab Emirates,ARE,United Arab Emirates,Active,NRE,RNE,COS,RestOfTheWorld,WLD
226,Uganda,UGA,Uganda,Active,UGA,RAF,COS,RestOfTheWorld,WLD
227,Tuvalu,TUV,Tuvalu,Active,OCL,RAP,COS,RestOfTheWorld,WLD
228,USSR,,,,,,,,
229,United Kingdom,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
230,Ukraine,UKR,Ukraine,Active,UKR,REU,COS,RestOfTheWorld,WLD
231,United States of America,USA,United States,Active,USA,USA,AGL,RestOfTheWorld,WLD
233,Burkina Faso,BFA,Burkina Faso,Active,BFA,RAF,COS,RestOfTheWorld,WLD
234,Uruguay,URY,Uruguay,Active,URY,RLC,COS,RestOfTheWorld,WLD
235,Uzbekistan,UZB,Uzbekistan,Active,ASD,RAP,COS,RestOfTheWorld,WLD
236,Venezuela (Bolivarian Republic of),VEN,Venezuela,Active,SAC,RLC,COS,RestOfTheWorld,WLD
237,Viet Nam,VNM,Viet Nam,Active,VNM,RAP,COS,OutlookSEAsia,WLD
238,Ethiopia,ETH,Ethiopia,Active,ETH,RAF,COS,RestOfTheWorld,WLD
239,British Virgin Islands,VGB,British Virgin Islands,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
240,United States Virgin Islands,VIR,United States Virgin Islands,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
242,Wake Island,,,,,,,,
243,Wallis and Futuna Islands,WLF,Wallis and Futuna Islands,Active,OCE,RAP,COS,RestOfTheWorld,WLD
244,Samoa,WSM,Samoa,Active,OCE,RAP,COS,RestOfTheWorld,WLD
248,Yugoslav SFR,,,,,,,,
249,Yemen,YEM,Yemen,Active,YEM,RNE,COS,RestOfTheWorld,WLD
250,Democratic Republic of the Congo,COD,Democratic Republic of the Congo,Active,COD,RAF,COS,RestOfTheWorld,WLD
251,Zambia,ZMB,Zambia,Active,ZMB,RAF,COS,RestOfTheWorld,WLD
252,Unspecified,,,,,,,,
255,Belgium,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
256,Luxembourg,E15,EU-15,Active,E15,EUN,AGL,RestOfTheWorld,WLD
258,Anguilla,AIA,Anguilla,Commented,SAC,RLC,COS,RestOfTheWorld,WLD
259,Channel Islands,,,,,,,,
260,Svalbard and Jan Mayen Islands,,,,,,,,
264,Isle of Man,,,,,,,,
270,Mayotte,MYT,Mayotte,Active,AF1,RAF,COS,RestOfTheWorld,WLD
272,Serbia,SRB,Serbia,Active,EUE,REU,COS,RestOfTheWorld,WLD
273,Montenegro,MNE,Montenegro,Active,EUE,REU,COS,RestOfTheWorld,WLD
276,Sudan,,,,,,,,
277,South Sudan,,,,,,,,
279,Curaçao,,,,,,,,
280,Sint Maarten (Dutch Part),,,,,,,,
281,Saint-Martin (French Part),,,,,,,,
299,Occupied Palestinian Territory,PSE,"Palestine, Occupied Tr.",Active,NRE,RNE,COS,RestOfTheWorld,WLD
351,China,,,,,,,,
357,China (exc. Hong Kong & Macao),,,,,,,,
5000,World,WLD,World,Active,WLD,WLD,WLD,,
